state,rainfall,elevation,population_density,coastal_distance,historical_index,risk_level
Telangana,67.36,10.7,100.0,75.44,74.28,critical
Kerala,67.07,51.35,35.98,5.1,36.55,high
Telangana,56.67,39.63,100.0,100.0,24.64,high
Assam,41.64,7.37,35.22,70.27,20.29,medium
Andhra Pradesh,64.44,23.82,77.8,17.09,98.53,critical
Kerala,55.04,22.0,90.83,51.22,44.59,high
Assam,24.59,29.42,53.2,67.84,75.59,medium
Maharashtra,60.5,21.38,67.14,1.44,61.41,critical
Gujarat,37.28,44.16,100.0,25.58,42.98,high
Gujarat,27.18,0.0,100.0,15.74,74.99,critical
Odisha,50.2,20.78,73.86,0.0,0.49,high
Assam,84.62,2.9,68.94,79.61,45.06,critical
Gujarat,58.12,20.51,37.92,0.0,30.03,high
Telangana,83.45,20.83,96.93,56.03,22.47,critical
Andhra Pradesh,0.0,14.84,86.48,0.0,16.94,high
Telangana,50.91,28.84,66.55,52.46,40.66,high
Odisha,47.41,28.64,100.0,0.0,89.69,critical
Odisha,96.94,18.65,61.24,0.0,64.16,critical
Assam,66.39,29.81,79.83,94.68,42.19,high
Jharkhand,39.42,24.58,46.62,79.04,47.62,medium
Jharkhand,85.16,24.43,35.36,63.06,32.35,high
Kerala,34.96,40.88,67.67,0.05,18.75,high
MP,54.72,55.04,61.79,100.0,61.68,medium
Karnataka,33.04,17.05,79.82,3.17,62.44,high
Gujarat,46.73,1.91,64.36,0.0,66.26,critical
MP,83.62,10.35,59.76,100.0,35.21,high
Assam,85.74,17.92,62.4,86.64,57.52,high
Assam,25.35,0.0,43.97,68.73,73.08,high
Karnataka,52.78,52.66,52.84,7.66,73.1,high
Kerala,66.63,31.61,84.06,19.37,60.71,critical
Rajasthan,11.69,31.61,49.89,66.29,50.47,medium
Kerala,79.32,17.41,59.34,24.53,32.54,critical
Rajasthan,34.44,36.46,88.91,72.12,31.63,high
Rajasthan,38.53,16.83,44.42,78.09,59.41,high
Rajasthan,79.99,47.79,67.2,76.61,31.3,high
Tamil Nadu,48.45,0.0,70.83,12.14,53.34,critical
UP,80.37,0.0,80.48,86.79,49.11,critical
Rajasthan,41.22,0.0,85.64,100.0,39.17,high
Bihar,40.02,24.77,39.93,59.61,43.16,medium
Bihar,0.0,2.99,55.76,74.99,31.76,medium
Maharashtra,59.71,29.58,52.02,15.8,45.21,high
Kerala,58.52,54.91,66.09,0.0,100.0,high
UP,37.61,0.88,48.08,72.98,73.37,high
UP,51.98,16.09,67.9,73.15,4.91,high
Kerala,72.57,43.25,84.78,0.0,39.43,critical
Kerala,82.73,57.26,75.52,18.68,30.54,high
Kerala,72.05,28.09,72.37,0.0,49.51,critical
Odisha,97.8,13.62,65.88,0.0,63.23,critical
Bihar,32.64,0.0,89.7,75.59,60.1,high
Jharkhand,51.86,30.42,65.57,83.74,43.26,high
Karnataka,27.83,35.86,59.27,25.46,54.97,high
Gujarat,37.97,9.07,94.73,18.25,28.4,high
West Bengal,96.75,9.92,54.5,0.0,48.59,critical
Bihar,79.63,6.03,81.04,79.13,25.85,high
Gujarat,57.89,17.19,49.39,0.0,39.67,high
Karnataka,14.34,51.89,43.75,0.0,56.11,medium
Jharkhand,82.57,30.63,36.96,37.95,25.53,high
Andhra Pradesh,60.98,5.54,55.01,18.53,100.0,critical
Bihar,57.56,0.0,83.87,87.26,20.15,high
Andhra Pradesh,93.67,8.36,98.31,9.76,71.16,critical
Odisha,78.89,10.21,90.44,20.41,90.16,critical
Jharkhand,75.45,25.99,50.31,78.86,70.99,high
Tamil Nadu,27.97,3.91,68.8,0.0,29.96,high
Tamil Nadu,16.88,12.32,71.58,0.0,35.03,high
Andhra Pradesh,68.9,64.04,56.1,0.0,46.13,high
Assam,52.23,0.46,64.5,56.17,40.04,high
Assam,31.64,14.79,66.65,34.34,33.61,high
Gujarat,55.25,24.17,98.38,0.0,73.41,critical
West Bengal,35.06,3.07,50.24,24.39,44.27,high
Jharkhand,100.0,33.81,54.94,83.5,19.64,high
Jharkhand,59.75,56.2,58.0,58.29,40.69,high
MP,49.59,37.91,21.84,94.75,73.74,medium
MP,97.63,57.97,52.78,61.97,52.84,high
UP,40.43,0.0,55.17,100.0,50.08,high
Telangana,81.51,33.21,46.17,60.7,54.07,high
Andhra Pradesh,54.57,27.43,53.56,0.0,50.76,high
Odisha,67.68,16.39,72.78,17.44,25.75,critical
Assam,97.28,0.0,61.77,75.56,54.82,critical
Telangana,43.04,33.54,59.32,68.1,8.27,medium
Tamil Nadu,69.97,18.19,66.41,0.0,63.65,critical
Tamil Nadu,63.7,21.87,68.36,18.65,61.68,critical
Assam,0.0,25.53,79.73,80.35,36.84,medium
MP,71.81,55.65,69.54,67.38,67.14,high
MP,56.41,59.27,55.63,61.99,67.26,high
Rajasthan,75.47,53.94,35.2,65.53,77.55,high
Karnataka,91.22,61.85,52.34,43.0,51.13,high
Tamil Nadu,77.2,15.61,66.58,14.03,54.21,critical
Assam,32.22,0.0,71.15,50.5,52.49,high
Assam,42.63,19.37,65.51,71.19,11.22,high
MP,37.14,5.88,57.3,91.73,50.82,high
Gujarat,36.17,28.05,52.14,25.08,25.05,high
Telangana,35.18,0.0,54.05,83.36,68.64,high
MP,8.85,22.79,85.01,73.66,6.28,medium
Rajasthan,42.21,0.0,75.02,87.73,17.65,high
Maharashtra,17.56,23.92,100.0,7.11,10.36,high
MP,83.24,43.11,51.61,88.85,31.19,high
Tamil Nadu,46.11,17.39,85.29,0.0,36.64,critical
Odisha,40.31,24.87,85.54,6.79,77.3,high
Odisha,82.1,10.12,65.66,28.31,53.09,critical
Jharkhand,40.78,11.35,78.43,87.13,30.61,high
Bihar,71.67,0.0,66.36,87.92,23.81,high
Karnataka,54.33,30.38,80.08,0.12,44.28,high
Telangana,84.34,27.59,68.41,79.84,31.68,high
Rajasthan,40.6,28.44,100.0,100.0,18.49,high
Tamil Nadu,48.6,26.12,84.95,0.0,73.24,critical
MP,81.06,19.1,81.27,81.92,54.99,high
Andhra Pradesh,95.89,3.14,100.0,0.0,48.8,critical
Gujarat,40.82,20.45,74.55,15.84,45.56,high
Assam,55.93,22.03,48.59,72.55,24.37,high
UP,44.95,2.55,41.44,100.0,55.31,high
Rajasthan,36.96,7.66,62.4,94.55,63.26,high
MP,18.09,20.47,75.68,88.57,26.18,medium
Kerala,37.53,37.99,67.97,36.31,57.02,high
Tamil Nadu,20.1,10.13,79.26,21.27,57.62,high
Kerala,58.69,37.26,85.21,22.24,63.01,high
Maharashtra,30.02,16.18,35.96,0.0,70.3,high
Assam,70.28,17.58,49.52,57.36,54.08,high
Kerala,80.96,31.04,83.22,0.0,26.47,critical
Odisha,24.35,30.22,68.32,0.0,74.58,high
Tamil Nadu,63.54,37.46,60.31,0.0,22.8,high
Odisha,72.55,13.35,75.08,32.73,61.66,critical
MP,60.64,43.72,100.0,61.93,74.94,high
UP,39.95,0.0,46.58,93.52,48.81,high
Gujarat,49.41,31.61,75.28,10.24,16.32,high
Bihar,65.68,0.0,60.57,100.0,42.26,high
Kerala,12.65,23.68,76.26,27.18,41.76,high
West Bengal,79.68,19.03,59.76,21.26,87.37,critical
Jharkhand,53.75,10.79,66.25,50.74,57.67,high
Jharkhand,57.9,19.75,58.3,63.47,64.69,high
Kerala,32.71,50.16,68.45,37.08,19.74,medium
UP,32.58,1.91,15.71,87.6,55.8,medium
Telangana,100.0,42.24,38.56,55.95,64.95,high
Rajasthan,71.19,39.21,26.1,93.31,100.0,high
Gujarat,39.42,14.78,72.7,0.0,53.51,high
MP,30.05,46.62,100.0,84.46,77.08,high
Bihar,24.29,15.56,77.23,100.0,55.66,medium
Jharkhand,70.65,47.0,76.47,100.0,11.91,high
Maharashtra,24.65,55.99,45.88,20.42,37.37,medium
Maharashtra,100.0,27.38,79.77,32.75,45.1,critical
Karnataka,52.13,18.21,66.19,12.01,61.57,high
Kerala,68.82,39.91,44.82,0.0,16.0,high
UP,65.05,1.76,65.57,47.05,97.63,critical
Karnataka,79.73,30.67,53.83,1.1,33.86,critical
Assam,65.13,16.33,77.87,77.13,62.71,high
MP,100.0,32.93,40.43,89.11,15.46,high
Kerala,48.53,33.17,51.12,0.0,33.86,high
Gujarat,57.17,6.97,31.99,0.0,40.71,high
MP,62.32,50.13,84.92,79.17,58.3,high
West Bengal,46.1,3.35,89.16,17.35,41.01,critical
MP,40.27,30.96,50.99,80.45,47.2,medium
MP,6.35,32.51,100.0,97.58,88.44,medium
Telangana,39.15,23.7,37.18,89.02,50.6,medium
Karnataka,52.4,51.19,58.33,0.0,0.0,high
Odisha,83.84,22.56,47.55,18.72,3.12,high
Telangana,24.86,27.44,32.77,84.52,100.0,medium
Rajasthan,39.01,0.0,57.36,92.69,59.38,high
Jharkhand,73.52,54.36,57.87,65.17,47.35,high
Gujarat,86.69,7.86,69.05,34.79,63.86,critical
Odisha,16.6,26.34,62.51,39.06,27.43,medium
Bihar,9.68,12.16,100.0,91.09,76.77,high
Karnataka,40.63,71.82,68.48,19.57,44.3,medium
Kerala,86.19,20.16,35.4,0.0,79.28,critical
Kerala,59.88,39.23,80.34,28.27,49.42,high
Assam,84.41,0.0,62.41,47.31,22.23,critical
Jharkhand,72.09,62.15,77.45,91.12,24.5,high
UP,16.41,21.72,49.84,99.09,0.0,medium
UP,37.81,34.28,53.68,89.32,35.21,medium
Gujarat,13.01,20.73,58.98,8.49,32.23,high
Rajasthan,35.28,24.67,62.41,100.0,38.44,medium
Rajasthan,52.77,34.59,83.9,94.51,45.69,high
Gujarat,78.34,0.0,97.44,29.35,40.82,critical
Assam,72.04,0.0,84.06,58.76,44.66,critical
Telangana,100.0,24.55,10.18,78.34,61.82,high
Gujarat,49.25,35.98,62.1,8.97,67.92,high
Telangana,42.02,38.55,57.46,68.45,33.91,medium
Telangana,34.28,41.6,68.5,68.36,83.09,high
Tamil Nadu,100.0,3.2,50.81,2.55,68.91,critical
MP,69.14,43.15,38.42,81.79,48.07,high
Bihar,82.2,0.0,80.28,100.0,88.57,critical
Jharkhand,19.8,61.13,75.34,72.4,67.94,medium
Kerala,64.52,43.4,48.47,12.4,25.36,high
Gujarat,52.43,0.0,31.07,0.0,39.52,high
Tamil Nadu,49.84,12.29,75.29,0.0,20.62,high
West Bengal,10.4,7.07,58.5,40.75,79.76,high
MP,37.48,50.29,95.6,100.0,17.69,medium
Karnataka,82.7,45.49,48.87,15.41,58.88,high
Rajasthan,35.49,11.95,67.69,100.0,46.44,high
Kerala,45.26,26.29,71.16,0.0,96.28,critical
Maharashtra,57.46,17.92,51.04,5.13,44.61,high
Karnataka,36.16,36.35,71.37,38.79,70.33,high
Jharkhand,42.89,12.23,96.39,68.29,28.09,high
Gujarat,43.89,20.17,60.59,0.0,40.77,high
Telangana,59.24,32.56,94.61,65.16,10.8,high
Maharashtra,50.77,77.8,27.01,24.5,56.81,medium
Odisha,57.42,18.48,35.69,0.0,64.19,high
UP,27.76,0.02,81.45,81.24,43.6,high
Kerala,87.54,22.33,58.19,5.82,69.03,critical
UP,27.27,0.0,74.59,93.68,38.08,high
Gujarat,51.16,32.87,71.19,9.65,58.81,high
Kerala,66.69,22.45,53.7,0.0,20.03,high
Gujarat,48.12,34.66,59.75,4.48,59.78,high
Tamil Nadu,31.0,17.05,74.66,0.0,60.71,high
Karnataka,71.33,54.66,47.43,14.32,50.56,high
Odisha,100.0,24.82,91.0,3.53,45.52,critical
Odisha,75.71,3.19,53.22,0.0,75.15,critical
MP,100.0,49.92,60.14,73.17,3.51,high
West Bengal,72.01,1.25,69.68,0.0,69.32,critical
Maharashtra,51.48,30.84,67.01,0.0,95.92,critical
MP,26.92,28.39,45.31,80.81,65.94,medium
Gujarat,66.66,0.0,87.97,0.0,89.07,critical
UP,43.31,27.78,67.6,74.14,41.42,high
Assam,83.57,4.66,61.6,62.06,63.46,critical
Bihar,37.19,0.0,94.04,100.0,45.24,high
Bihar,8.69,0.0,56.94,83.7,42.9,medium
Assam,100.0,6.39,76.05,47.69,38.37,critical
Bihar,52.96,0.0,50.62,92.79,89.25,high
Tamil Nadu,65.55,28.98,33.38,57.86,68.01,high
Andhra Pradesh,69.97,48.88,58.24,0.0,42.93,high
Assam,57.75,12.95,76.36,98.64,30.43,high
Karnataka,44.68,70.19,99.03,0.0,69.11,high
Rajasthan,68.54,41.76,44.38,64.09,93.93,high
MP,34.99,23.95,59.07,92.26,56.94,medium
Karnataka,66.75,35.14,60.28,0.0,26.42,high
Karnataka,28.37,42.89,42.84,30.66,56.71,medium
Tamil Nadu,98.55,0.0,43.28,42.15,92.72,critical
Jharkhand,10.16,57.69,89.13,98.44,69.73,medium
West Bengal,79.51,0.0,53.25,0.0,20.01,critical
UP,42.54,37.87,72.32,64.34,12.95,medium
Telangana,33.09,46.05,82.63,100.0,81.51,medium
West Bengal,62.96,22.83,81.93,52.32,50.08,high
Gujarat,6.64,13.39,92.28,0.0,39.64,high
MP,39.9,33.56,52.63,100.0,26.86,medium
MP,22.04,52.56,36.98,75.0,45.27,medium
Tamil Nadu,28.03,70.92,80.45,7.13,66.83,high
Odisha,82.41,2.45,81.6,7.2,62.61,critical
Rajasthan,47.64,2.38,56.9,59.71,23.97,high
Tamil Nadu,63.2,21.03,67.38,0.0,33.84,critical
Jharkhand,52.49,18.1,79.94,85.17,65.9,high
Tamil Nadu,100.0,19.91,70.88,0.0,83.24,critical
Gujarat,0.0,25.81,50.7,2.42,36.71,medium
Andhra Pradesh,84.59,12.19,45.02,0.0,11.63,critical
Bihar,69.18,25.76,60.36,93.81,78.22,high
Gujarat,67.78,21.42,63.69,27.3,78.76,critical
Tamil Nadu,18.79,41.37,95.32,15.94,35.45,high
West Bengal,33.86,23.7,67.29,11.17,79.52,high
Andhra Pradesh,48.91,25.66,53.01,3.08,69.78,high
Gujarat,94.76,3.01,67.98,17.25,66.63,critical
Assam,47.26,6.22,97.05,68.88,47.37,high
Odisha,65.3,8.5,62.74,7.59,43.59,critical
Andhra Pradesh,10.88,19.62,52.59,15.9,45.27,high
Telangana,86.44,33.78,59.37,54.6,47.16,high
Odisha,44.95,6.69,33.09,40.5,39.34,high
UP,52.48,24.64,85.78,84.16,83.14,high
Maharashtra,81.14,9.2,48.62,0.62,29.19,critical
Andhra Pradesh,28.41,21.65,74.84,0.0,25.21,high
Jharkhand,34.5,54.63,41.91,61.98,55.64,medium
Bihar,74.64,25.71,62.59,67.45,1.52,high
Odisha,55.87,21.91,21.15,0.0,48.98,high
Karnataka,2.11,43.21,96.28,3.1,50.59,high
Kerala,80.69,44.87,56.83,0.0,82.13,critical
Karnataka,32.35,26.88,52.73,0.0,52.82,high
UP,77.02,3.31,78.04,85.91,68.55,critical
Assam,94.13,0.0,91.96,50.08,57.34,critical
Odisha,65.32,16.37,23.74,14.15,67.03,high
Jharkhand,63.25,29.72,100.0,74.18,30.74,high
UP,55.8,0.0,39.63,58.27,83.72,high
Tamil Nadu,64.8,12.46,62.97,53.75,80.85,high
Gujarat,80.54,24.41,76.72,14.99,32.12,critical
Andhra Pradesh,68.0,29.54,73.22,0.0,7.04,high
Odisha,28.67,0.0,49.7,0.0,70.72,high
Kerala,53.99,37.87,96.81,51.49,45.38,high
Bihar,68.57,6.83,91.44,86.0,79.52,critical
Tamil Nadu,61.11,47.65,85.32,0.0,57.28,high
Gujarat,62.28,44.46,67.87,27.59,20.28,high
Gujarat,57.85,0.0,64.24,0.0,75.85,critical
UP,61.11,12.97,65.71,97.55,34.23,high
MP,23.16,20.02,90.07,85.76,56.52,high
Jharkhand,35.2,29.55,46.34,72.19,31.51,medium
UP,93.7,25.43,67.46,77.02,18.28,high
Gujarat,67.55,34.87,23.16,4.8,53.36,high
Jharkhand,51.13,30.19,59.43,88.24,36.48,high
Kerala,93.98,34.12,33.85,1.64,9.43,high
UP,48.83,0.0,12.8,92.33,45.55,medium
Rajasthan,20.07,12.52,74.88,41.38,38.36,high
Telangana,78.77,11.18,52.06,64.61,50.0,high
Kerala,35.93,40.42,69.44,13.62,18.52,high
Maharashtra,50.91,22.18,71.83,7.58,37.5,high
Karnataka,66.78,41.47,89.82,3.01,72.9,critical
Tamil Nadu,52.55,31.8,94.66,28.53,46.66,high
Andhra Pradesh,52.32,24.48,75.66,0.0,16.84,high
MP,100.0,54.0,50.09,100.0,15.71,high
UP,80.2,25.15,76.37,62.17,61.23,high
Tamil Nadu,100.0,22.55,84.41,7.84,17.18,critical
West Bengal,62.42,7.96,78.74,7.53,56.45,critical
Jharkhand,89.4,55.34,76.47,62.22,25.76,high
Maharashtra,88.2,40.15,77.54,18.79,81.79,critical
Assam,3.53,13.96,81.6,99.36,61.48,medium
Tamil Nadu,46.87,12.45,60.25,0.0,55.27,high
Jharkhand,85.32,45.96,77.67,77.56,60.51,high
Jharkhand,2.43,38.1,67.49,57.95,64.69,medium
Telangana,52.73,51.36,31.02,75.85,4.14,medium
Assam,10.06,0.0,58.96,74.82,48.99,medium
Assam,46.22,22.39,95.09,32.0,38.57,high
Andhra Pradesh,23.09,16.42,51.27,0.0,93.24,high
Assam,62.76,0.0,74.82,40.76,59.03,critical
Tamil Nadu,89.31,7.82,65.15,0.0,77.09,critical
Bihar,66.47,33.72,75.8,88.52,54.85,high
Tamil Nadu,93.09,22.18,44.84,0.0,38.11,critical
Tamil Nadu,58.21,37.86,34.54,0.0,0.0,high
Andhra Pradesh,58.62,30.98,92.76,22.99,74.73,critical
West Bengal,43.0,0.0,61.43,0.0,9.13,high
Odisha,93.8,18.62,47.83,0.0,100.0,critical
Gujarat,30.9,36.76,60.83,0.0,63.46,high
Maharashtra,40.17,65.27,88.89,0.09,12.15,high
Jharkhand,46.1,37.6,86.76,41.34,41.58,high
Assam,0.0,0.0,49.32,39.85,41.67,medium
Bihar,43.54,27.22,67.55,100.0,59.12,high
Odisha,27.78,26.31,28.87,8.5,32.6,medium
Tamil Nadu,78.42,7.04,35.26,0.0,90.88,critical
Telangana,49.97,57.41,49.04,84.95,28.44,medium
Telangana,14.39,45.97,48.85,100.0,66.35,medium
Andhra Pradesh,35.76,21.86,74.42,2.7,65.89,high
Bihar,71.7,0.76,41.03,100.0,21.47,high
Assam,51.67,7.01,66.69,71.42,54.98,high
Assam,16.08,0.0,39.12,75.31,98.45,high
Kerala,74.89,20.21,46.02,0.0,86.6,critical
MP,49.37,23.45,74.46,100.0,20.12,high
Karnataka,59.71,60.99,80.59,38.99,54.41,high
Rajasthan,16.28,16.98,71.58,100.0,100.0,medium
UP,22.77,14.07,73.6,100.0,46.02,medium
Kerala,41.48,24.35,70.0,20.55,47.17,high
Telangana,63.08,27.46,73.25,86.0,0.0,high
Jharkhand,41.99,32.79,41.44,89.5,26.02,medium
MP,55.84,55.52,71.73,68.81,68.27,high
Bihar,59.87,32.02,52.89,85.03,55.37,high
Karnataka,50.13,36.81,58.09,37.35,61.77,high
Kerala,52.71,48.3,74.52,0.07,8.41,high
UP,29.35,15.09,71.62,79.64,33.49,high
Telangana,45.13,37.8,77.06,56.17,54.91,high
Odisha,47.62,0.0,46.8,41.44,39.07,high
Rajasthan,71.43,13.41,68.04,100.0,65.38,high
West Bengal,15.04,10.35,45.28,0.0,58.88,high
UP,78.87,0.0,84.7,93.81,64.21,critical
Kerala,43.98,41.53,40.26,0.0,51.58,high
UP,43.59,0.0,84.73,67.54,38.48,high
Bihar,30.82,14.75,88.53,100.0,59.8,high
Jharkhand,30.46,49.52,45.11,91.85,79.31,medium
Kerala,36.04,15.45,48.83,44.22,19.9,high
West Bengal,83.15,1.4,75.44,0.0,66.54,critical
Gujarat,61.53,0.0,41.42,40.58,66.11,high
Odisha,25.66,9.31,47.82,0.0,40.35,high
Andhra Pradesh,11.79,3.67,41.09,7.01,81.27,high
Kerala,67.59,49.36,88.75,0.0,15.58,high
Andhra Pradesh,56.06,16.77,78.92,0.0,32.02,critical
Andhra Pradesh,47.99,0.96,44.95,0.51,87.97,critical
Andhra Pradesh,50.34,31.08,72.72,0.0,58.8,high
Bihar,60.8,0.3,45.07,100.0,56.01,high
Bihar,50.2,18.5,42.81,98.9,60.17,high
Bihar,48.41,27.46,66.03,66.61,51.98,high
Andhra Pradesh,11.68,9.42,62.05,0.0,87.7,high
UP,62.41,28.23,51.15,65.56,59.89,high
Karnataka,58.98,39.86,51.61,22.4,66.96,high
Bihar,72.87,24.4,65.19,100.0,72.63,high
MP,57.7,28.19,47.98,79.84,79.04,high
Kerala,84.58,38.41,81.09,0.0,5.88,critical
Kerala,31.91,46.85,56.08,14.16,37.69,high
MP,35.1,32.37,56.6,44.7,20.16,medium
Jharkhand,59.5,38.56,85.33,64.19,46.29,high
Telangana,57.18,0.0,37.51,43.92,87.91,high
Odisha,78.3,0.0,41.1,0.0,45.97,critical
Telangana,58.06,29.74,88.72,100.0,97.79,high
West Bengal,29.37,18.86,84.42,13.85,85.71,high
MP,42.7,37.96,57.29,66.25,69.84,high
Maharashtra,33.11,33.05,80.94,3.89,97.38,high
Telangana,12.29,32.23,49.13,82.94,47.63,medium
Odisha,31.34,0.12,63.08,35.09,36.09,high
Gujarat,56.73,4.33,80.98,9.94,30.27,critical
West Bengal,80.49,0.0,42.13,0.0,51.29,critical
Maharashtra,100.0,39.07,65.35,0.0,33.62,critical
Jharkhand,56.27,26.75,69.34,92.63,68.99,high
Telangana,41.41,34.77,67.49,64.36,70.58,high
Maharashtra,50.51,43.27,67.6,34.34,45.66,high
Bihar,57.31,30.44,67.28,100.0,25.5,high
Bihar,51.81,8.99,42.78,97.71,31.36,high
Telangana,43.85,14.98,100.0,51.94,47.81,high
Maharashtra,0.0,0.0,78.04,0.0,31.75,high
Andhra Pradesh,38.2,43.54,81.96,0.0,42.89,high
Jharkhand,93.18,43.55,86.33,75.13,15.2,high
UP,36.04,31.14,67.54,100.0,33.03,medium
UP,53.5,11.0,78.88,79.74,62.14,high
Odisha,83.76,13.65,62.65,14.42,87.71,critical
Bihar,73.09,30.56,52.92,94.0,33.16,high
UP,63.92,26.88,91.14,60.19,58.33,high
Gujarat,79.11,14.12,44.18,0.0,51.35,critical
Tamil Nadu,80.72,10.44,54.69,6.57,38.04,critical
Kerala,100.0,26.17,42.35,0.0,42.64,critical
Assam,24.23,0.0,47.69,84.06,43.95,medium
Andhra Pradesh,59.45,29.37,95.4,29.07,52.72,critical
Gujarat,54.41,29.59,99.36,0.0,43.74,critical
UP,41.88,0.0,75.99,97.44,46.67,high
Tamil Nadu,87.39,16.28,21.9,41.14,22.31,high
Gujarat,44.07,23.75,74.55,0.0,34.07,high
Gujarat,63.32,0.79,55.86,16.62,47.95,critical
Rajasthan,44.43,55.27,52.51,100.0,36.19,medium
Karnataka,44.73,24.33,72.95,0.0,22.66,high
Gujarat,81.5,0.0,63.22,0.13,75.91,critical
Jharkhand,54.68,2.61,86.91,90.21,40.8,high
MP,24.19,49.68,77.49,100.0,52.92,medium
Maharashtra,67.38,18.1,13.37,0.0,50.76,high
Rajasthan,57.56,20.66,68.7,100.0,77.11,high
Karnataka,64.17,28.72,50.11,24.63,10.31,high
Karnataka,46.09,23.22,75.3,8.85,61.82,high
Gujarat,32.11,44.78,60.09,9.73,34.03,high
Assam,44.64,14.65,47.77,64.4,64.14,high
Rajasthan,16.88,25.14,96.12,62.37,86.93,high
Rajasthan,33.5,9.69,63.67,100.0,33.33,medium
Telangana,26.71,5.96,30.39,88.15,19.87,medium
Rajasthan,62.74,26.0,66.69,97.22,0.0,high
Andhra Pradesh,60.41,24.06,60.56,24.1,51.47,high
Karnataka,42.84,25.63,50.16,2.73,17.86,high
Kerala,34.01,33.14,24.87,16.65,49.03,medium
Tamil Nadu,43.32,12.93,41.19,0.0,70.24,high
UP,80.91,18.33,38.37,88.97,62.89,high
Karnataka,69.69,48.56,32.6,21.59,46.86,high
Rajasthan,55.66,30.85,43.26,100.0,24.37,medium
Jharkhand,23.71,34.68,97.2,69.6,76.55,high
Telangana,16.22,24.8,64.63,82.46,37.24,medium
UP,27.5,5.47,69.75,96.26,62.45,high
Maharashtra,11.8,39.23,80.45,32.87,26.25,medium
Assam,53.58,39.72,18.93,76.12,56.66,medium
Assam,39.05,19.9,49.82,53.43,59.27,high
Assam,85.36,15.85,79.41,60.65,87.19,critical
Telangana,42.01,15.75,52.17,100.0,42.44,medium
West Bengal,32.97,22.04,46.67,0.0,63.62,high
UP,81.27,9.86,47.78,100.0,92.99,high
Bihar,58.69,44.36,95.26,100.0,63.1,high
Tamil Nadu,35.01,14.38,93.85,31.59,31.14,high
Bihar,86.9,24.15,93.81,89.99,91.21,critical
UP,40.9,11.44,52.09,78.35,43.58,high
Assam,65.41,30.74,39.69,59.94,53.85,high
Maharashtra,42.95,26.41,51.4,4.63,25.96,high
Bihar,49.41,24.7,73.79,100.0,0.0,medium
Tamil Nadu,73.86,6.55,69.4,0.0,1.99,critical
Tamil Nadu,40.23,4.02,74.93,38.06,61.27,high
Rajasthan,64.85,26.85,53.59,100.0,68.84,high
UP,70.08,6.61,99.97,73.6,72.19,critical
Odisha,80.44,0.99,75.12,14.28,43.68,critical
Tamil Nadu,75.89,0.0,69.9,0.0,43.4,critical
Andhra Pradesh,46.41,21.1,93.34,9.99,96.0,critical
Tamil Nadu,62.36,20.05,73.24,5.26,55.62,critical
West Bengal,68.27,6.66,57.59,0.0,46.92,critical
West Bengal,36.56,0.0,52.57,4.38,51.92,high
Gujarat,63.91,20.57,67.64,16.51,0.0,high
MP,52.54,48.69,61.1,100.0,89.04,medium
Maharashtra,80.74,47.47,70.78,38.25,45.87,high
Odisha,78.51,0.0,83.28,0.0,10.69,critical
Rajasthan,35.36,43.83,68.29,87.04,55.25,medium
Maharashtra,100.0,25.59,25.58,6.62,30.39,critical
Karnataka,41.46,59.43,46.47,33.71,73.8,medium
UP,17.65,10.22,42.67,100.0,16.5,medium
Odisha,62.99,6.94,85.17,0.0,57.62,critical
UP,78.12,16.77,44.46,99.81,40.94,high
Maharashtra,64.13,15.57,60.66,38.29,22.3,high
Telangana,63.07,38.94,67.31,74.47,54.25,high
MP,29.6,38.79,31.03,83.98,51.92,medium
Telangana,58.52,28.87,88.01,77.33,90.62,high
UP,28.63,49.86,50.34,69.55,36.21,medium
Telangana,59.12,37.16,59.88,75.97,47.09,high
Assam,65.23,18.06,80.66,68.02,60.01,high
Bihar,59.7,0.0,27.52,93.8,21.68,high
Bihar,82.12,35.21,75.02,76.45,21.19,high
Tamil Nadu,100.0,20.96,32.66,14.35,68.54,critical
West Bengal,76.13,0.0,54.78,17.33,56.72,critical
Kerala,73.97,75.16,77.59,18.56,69.47,high
Maharashtra,100.0,24.44,61.64,0.0,34.61,critical
Bihar,15.49,50.46,51.12,100.0,44.53,medium
Bihar,40.63,0.0,82.25,83.73,56.6,high
Andhra Pradesh,71.73,2.71,41.87,0.0,100.0,critical
MP,20.91,31.71,23.12,97.35,48.9,medium
Bihar,35.3,7.38,63.7,100.0,43.88,high
Gujarat,43.83,20.7,58.4,0.0,74.06,high
Rajasthan,42.57,12.43,67.17,77.84,44.2,high
Maharashtra,66.34,21.57,70.47,0.0,58.23,critical
Odisha,46.9,0.0,37.27,0.0,45.05,high
Andhra Pradesh,50.19,41.94,95.77,0.0,0.0,high
Andhra Pradesh,77.16,3.25,57.62,29.33,0.0,high
Maharashtra,65.98,33.02,44.67,0.0,81.74,high
Telangana,64.09,28.96,90.2,37.38,56.24,critical
UP,52.78,16.81,39.35,70.13,50.92,high
Odisha,41.41,6.3,70.26,7.48,75.07,critical
Gujarat,24.66,27.01,70.89,22.01,55.21,high
MP,28.16,28.38,78.03,85.37,29.51,medium
Assam,42.87,12.77,61.21,76.11,61.96,high
West Bengal,79.61,0.0,70.69,2.2,31.19,critical
MP,75.75,34.66,38.8,100.0,51.46,high
Tamil Nadu,57.56,21.17,86.4,22.93,17.82,high
